grid_id,name,cit_wos,cit_scopus,cit_msa,cit_ave_wos,cit_ave_scopus,cit_ave_msa,cit_wos_rank,cit_scopus_rank,cit_msa_rank,wos-scopus,wos-msa,scopus-msa,wos-scopus.rank,wos-msa.rank,scopus-msa.rank,colour
grid.1037.5,Charles Sturt University,8254,1472,7545,11.4479889,2.961770624,8.47752809,2,148,5,8.486218281,2.970460814,-5.515757466,-146,-3,143,red
grid.264200.2,ST GEORGES UNIVERSITY LONDON,6328,3631,5415,5.726696833,6.292894281,6.668719212,76,66,19,-0.566197448,-0.942022379,-0.375824931,10,57,47,red
grid.1029.a,Western Sydney University,8421,9386,3504,5.069837447,5.910579345,5.716150082,93,76,44,-0.840741898,-0.646312634,0.194429264,17,49,32,red
grid.1034.6,University of the Sunshine Coast,2227,1967,1922,3.800341297,3.775431862,3.559259259,129,128,105,0.024909435,0.241082038,0.216172603,1,24,23,red
grid.1027.4,Swinburne University of Technology,7238,6407,6341,5.813654618,5.10111465,4.621720117,71,98,75,0.712539969,1.191934502,0.479394533,-27,-4,23,red
grid.1025.6,Murdoch University,3780,3338,3426,4.064516129,4.060827251,3.902050114,117,118,96,0.003688878,0.162466015,0.158777137,-1,21,22,red
grid.1031.3,Southern Cross University,1521,1553,1544,3.9,3.594907407,3.356521739,123,132,110,0.305092593,0.543478261,0.238385668,-9,13,22,red
grid.411958.0,Australian Catholic University,4660,4263,4013,5.183537264,5.117647059,4.617951669,89,96,76,0.065890205,0.565585595,0.49969539,-7,13,20,red
grid.1012.2,University of Western Australia,31777,30563,25327,6.537132277,7.198068771,6.133930734,56,43,30,-0.660936493,0.403201543,1.064138037,13,26,13,red
grid.1032.0,Curtin University,15875,16276,14636,5.050906777,5.53417205,4.680524464,94,83,72,-0.483265273,0.370382313,0.853647586,11,22,11,red
grid.42505.36,University of Southern California,34162,33255,31831,6.846092184,6.665664462,5.330932842,42,62,52,0.180427723,1.515159342,1.33473162,-20,-10,10,red
grid.1039.b,University of Canberra,3000,4402,3970,4.491017964,7.1,5.761973875,110,49,41,-2.608982036,-1.270955911,1.338026125,61,69,8,red
grid.213917.f,Georgia Institute of Technology,30134,28792,24885,7.422167488,6.8373308,5.526315789,27,56,48,0.584836687,1.895851698,1.311015011,-29,-21,8,red
grid.67105.35,Case Western Reserve University,24023,19688,22057,6.305249344,7.357249626,5.974268689,63,38,33,-1.052000282,0.330980655,1.382980937,25,30,5,red
grid.1018.8,La Trobe University,9114,9998,8391,5.181353042,6.052058111,4.738001129,90,72,70,-0.87070507,0.443351912,1.314056982,18,20,2,red
grid.1011.1,James Cook University,8538,9553,8120,5.609724047,6.957756737,5.242091672,80,54,53,-1.34803269,0.367632375,1.715665065,26,27,1,red
grid.252890.4,Baylor University,7073,3853,3731,6.113223855,5.157965194,3.5875,65,93,103,0.955258661,2.525723855,1.570465194,-28,-38,-10,red
grid.1014.4,Flinders University South Australia,8781,9935,7305,4.798360656,5.974143115,4.076450893,101,74,88,-1.175782459,0.721909763,1.897692222,27,13,-14,red
grid.1019.9,Victoria University,4298,3655,2732,5.62565445,5.521148036,3.652406417,78,84,101,0.104506414,1.973248033,1.868741619,-6,-23,-17,red
grid.254880.3,Dartmouth College,13124,7419,10418,5.933092224,7.382089552,5.152324431,70,37,56,-1.448997328,0.780767793,2.229765121,33,14,-19,red
grid.262743.6,Rush University,8678,1193,386,6.366837858,5.302222222,3.356521739,62,89,110,1.064615635,3.010316119,1.945700483,-27,-48,-21,red
grid.35403.31,University of Illinois Urbana-Champaign,44460,32173,35744,7.413706853,7.200760967,4.924094228,28,42,65,0.212945887,2.489612626,2.276666739,-14,-37,-23,red
grid.21006.35,University of Canterbury,5501,7315,4683,5.325266215,6.986628462,4.546601942,87,51,77,-1.661362247,0.778664273,2.440026521,36,10,-26,red
grid.27755.32,University of Virginia,26048,23399,18088,6.670422535,7.339711418,4.75,51,40,69,-0.669288883,1.920422535,2.589711418,11,-18,-29,red
grid.7372.1,University of Warwick,23600,22699,16856,6.693136699,7.434981985,4.835341365,48,36,68,-0.741845286,1.857795333,2.599640619,12,-20,-32,red
grid.252547.3,Auckland University of Technology,3010,4367,2622,3.955321945,5.671428571,3.048837209,122,82,122,-1.716106627,0.906484736,2.622591362,40,0,-40,red
grid.16463.36,UNIVERSITY OF KWAZULU NATAL,13291,14564,7452,5.968118545,7.557861962,3.291519435,69,33,114,-1.589743416,2.67659911,4.266342527,36,-45,-81,red
grid.5477.1,Utrecht University,45197,20003,33888,6.526642599,5.68590108,5.731100964,58,80,43,0.840741519,0.795541635,-0.045199884,-22,15,37,orange
grid.4691.a,University of Naples Federico II,28955,29613,16534,6.536117381,7.11167147,6.296268088,57,48,26,-0.575554088,0.239849293,0.815403381,9,31,22,orange
grid.417984.7,Indian Institute of Technology Indian School of Mines Dhanbad,2926,2694,2741,3.438307873,2.986696231,2.972885033,139,147,125,0.451611642,0.465422841,0.013811198,-8,14,22,orange
grid.34980.36,Indian Institute of Science IISC - Bangalore,7377,6682,7754,3.737082067,3.433710175,3.214759536,132,136,116,0.303371892,0.522322531,0.218950639,-4,16,20,orange
grid.7427.6,Universidade da Beira Interior,2147,1995,1274,4.226377953,3.982035928,3.725146199,114,119,99,0.244342025,0.501231754,0.256889729,-5,15,20,orange
grid.5963.9,University of Freiburg,23447,17805,14946,6.43088316,6.914563107,5.797517455,60,55,39,-0.483679947,0.633365704,1.117045651,5,21,16,orange
grid.59025.3b,Nanyang Technological University,39414,35824,30998,7.117009751,6.233513137,5.212375988,36,69,55,0.883496614,1.904633763,1.021137149,-33,-19,14,orange
grid.6612.3,University of Basel,24367,18151,14688,7.173093906,8.349126035,7.133559981,35,21,12,-1.176032129,0.039533926,1.215566054,14,23,9,orange
grid.10784.3a,Chinese University of Hong Kong,24755,21983,17692,6.686925986,6.245170455,4.659468001,49,68,73,0.441755531,2.027457985,1.585702453,-19,-24,-5,orange
grid.5252.0,University of Munich,51013,43235,31053,8.088314571,8.56817281,5.810815868,18,17,38,-0.479858239,2.277498703,2.757356942,1,-20,-21,orange
grid.10388.32,UNIVERSITY OF BONN,27533,23011,16755,8.031796966,8.836789555,5.842050209,20,12,36,-0.804992588,2.189746757,2.994739345,8,-16,-24,orange
grid.4708.b,University of Milan,36009,34522,27645,6.878510029,7.435278914,5.096792035,41,35,59,-0.556768886,1.781717993,2.338486879,6,-18,-24,orange
grid.5606.5,University of Genoa,22410,18802,8805,8.269372694,8.319469027,5.673324742,15,22,46,-0.050096333,2.596047951,2.646144284,-7,-31,-24,orange
grid.7345.5,University of Buenos Aires,11502,9380,5409,4.25684678,4.275296263,2.642403517,113,111,136,-0.018449482,1.614443263,1.632892745,2,-23,-25,orange
grid.412522.2,Pontificia Universidade Catolica do Parana,1098,1108,695,2.975609756,4.261538462,1.392785571,146,112,153,-1.285928705,1.582824185,2.86875289,34,-7,-41,orange
grid.7247.6,University of the Andes Colombia,3273,3198,3383,4.959090909,5.216965742,2.840470193,96,90,134,-0.257874833,2.118620716,2.376495549,6,-38,-44,orange
grid.411840.8,University of Marrakech Cadi Ayyad,3600,3294,385,6.94980695,6.334615385,1.790697674,40,64,152,0.615191565,5.159109275,4.54391771,-24,-112,-88,orange
grid.5836.8,Universitat Siegen,6191,4219,896,10.33555927,6.80483871,2.174757282,6,58,149,3.530720556,8.160801984,4.630081428,-52,-143,-91,orange
grid.4280.e,National University of Singapore,44177,40360,37177,6.048329682,5.966883501,5.151309408,67,75,57,0.081446181,0.897020274,0.815574093,-8,10,18,grey
grid.1008.9,University of Melbourne,57938,56096,47664,6.556297386,6.801163919,5.754436798,53,59,42,-0.244866533,0.801860588,1.04672712,-6,11,17,grey
grid.1007.6,University of Wollongong,11691,9945,9323,5.138901099,4.74248927,4.098021978,92,103,86,0.396411829,1.040879121,0.644467292,-11,6,17,grey
grid.1040.5,Federation University Australia,1190,1281,1237,3.53115727,3.276214834,3.024449878,138,140,124,0.254942436,0.506707392,0.251764956,-2,14,16,grey
grid.5475.3,University of Surrey,7217,6332,6205,4.504993758,4.201725282,3.809085328,108,113,97,0.303268476,0.695908429,0.392639954,-5,11,16,grey
grid.35030.35,City University of Hong Kong,13560,13217,11352,5.366046696,5.079554189,4.18121547,85,101,85,0.286492507,1.184831226,0.898338719,-16,0,16,grey
grid.30055.33,Dalian University of Technology,12704,10811,11174,3.653724475,3.446286261,3.134361851,134,134,119,0.207438214,0.519362624,0.311924409,0,15,15,grey
grid.10858.34,University of Oulu,9039,8184,6923,5.35485782,5.115,4.40114431,86,97,82,0.23985782,0.95371351,0.71385569,-11,4,15,grey
grid.410356.5,Queens University - Canada,11363,9079,10330,4.985958754,4.364903846,3.980732177,95,109,94,0.621054908,1.005226577,0.384171669,-14,1,15,grey
grid.148374.d,Massey University,5024,3110,3993,3.811836115,3.170234455,2.899782135,128,143,128,0.641601661,0.91205398,0.27045232,-15,0,15,grey
grid.1022.1,Griffith University,13995,14135,13141,4.955736544,5.198602427,4.529817304,97,92,78,-0.242865883,0.42591924,0.668785123,5,19,14,grey
grid.5841.8,University of Barcelona,37600,26352,24795,6.102905373,6.408560311,5.453045964,66,63,49,-0.305654939,0.649859408,0.955514347,3,17,14,grey
grid.12380.38,VRIJE UNIVERSITEIT AMSTERDAM,41008,22182,22852,7.523023298,8.086766314,6.96494971,26,26,13,-0.563743016,0.558073588,1.121816604,0,13,13,grey
grid.1048.d,University of Southern Queensland,1621,1531,1537,4.022332506,3.662679426,3.156057495,119,130,117,0.35965308,0.866275011,0.506621931,-11,2,13,grey
grid.1020.3,University of New England,2931,2526,1637,3.796632124,3.833080425,3.347648262,130,124,112,-0.036448301,0.448983863,0.485432163,6,18,12,grey
grid.1003.2,University of Queensland,43999,42969,36998,5.54702471,5.866876024,4.919292647,81,78,66,-0.319851314,0.627732063,0.947583377,3,15,12,grey
grid.6571.5,Loughborough University,5400,5155,5120,3.890489914,3.832713755,3.292604502,124,125,113,0.057776159,0.597885412,0.540109253,-1,11,12,grey
grid.5012.6,Maastricht University,20235,15355,13385,5.811315336,5.829536826,4.847881202,72,79,67,-0.01822149,0.963434134,0.981655624,-7,5,12,grey
grid.1001.0,Australian National University,30873,29312,27614,7.310679612,7.967382441,6.799803004,32,27,16,-0.656702829,0.510876607,1.167579437,5,16,11,grey
grid.1009.8,University of Tasmania,10015,9987,7836,4.868740885,5.132065776,4.348501665,99,94,83,-0.263324891,0.52023922,0.783564111,5,16,11,grey
grid.35541.36,Korea Institute of Science & Technology,6192,6122,4810,4.426018585,4.468613139,3.975206612,111,106,95,-0.042594554,0.450811973,0.493406527,5,16,11,grey
grid.412831.d,University of Tabriz,2867,2844,2842,2.799804688,2.685552408,2.609733701,149,150,139,0.11425228,0.190070987,0.075818707,-1,10,11,grey
grid.411301.6,Ferdowsi University Mashhad,3071,2854,2986,2.591561181,2.477430556,2.443535188,152,153,142,0.114130626,0.148025993,0.033895367,-1,10,11,grey
grid.83440.3b,University College London,97651,86446,64398,7.240916506,7.725980874,6.567873534,34,32,22,-0.485064368,0.673042972,1.15810734,2,12,10,grey
grid.5132.5,Leiden University,38097,18139,20044,7.52607665,8.309207513,6.962139632,25,24,14,-0.783130863,0.563937018,1.347067881,1,11,10,grey
grid.1033.1,Bond University,1144,1012,901,3.631746032,3.430508475,2.93485342,136,137,127,0.201237557,0.696892612,0.495655054,-1,9,10,grey
