grid_id,name,total_wos,total_scopus,total_msa,cit_wos,cit_scopus,cit_msa,cit_ave_wos,cit_ave_scopus,cit_ave_msa,cit_wos_rank,cit_scopus_rank,cit_msa_rank,wos-scopus,wos-msa,scopus-msa,wos-scopus.rank,wos-msa.rank,scopus-msa.rank,colour,country,Latin,English
grid.16463.36,UNIVERSITY OF KWAZULU NATAL,2380,2653,2522,29240,33355,18476,12.28571429,12.57255937,7.3259318,33,84,116,-0.286845081,4.959782486,5.246627567,-51,-83,-32,red,South Africa,,1
grid.252547.3,Auckland University of Technology,852,1088,917,9922,13606,9153,11.64553991,12.50551471,9.981461287,49,85,73,-0.8599748,1.664078619,2.524053419,-36,-24,12,red,New Zealand,,1
grid.59025.3b,Nanyang Technological University,7202,9064,6231,95529,135393,73642,13.26423216,14.93744484,11.81864869,22,52,39,-1.673212679,1.445583466,3.118796145,-30,-17,13,red,Singapore,,1
grid.1037.5,Charles Sturt University,877,1002,958,12133,15323,10866,13.83466363,15.29241517,11.34237996,17,40,47,-1.457751544,2.492283668,3.950035211,-23,-30,-7,red,Australia,,1
grid.35403.31,University of Illinois Urbana-Champaign,7408,7571,7997,89696,109403,80605,12.10799136,14.45027077,10.07940478,37,59,70,-2.342279409,2.028586584,4.370865993,-22,-33,-11,red,United States of America,,1
grid.1027.4,Swinburne University of Technology,1401,1766,1458,14084,18704,12000,10.05281941,10.59116648,8.230452675,86,107,100,-0.538347063,1.82236674,2.360713803,-21,-14,7,red,Australia,,1
grid.252890.4,Baylor University,1413,992,1264,13681,9522,9403,9.682236377,9.598790323,7.439082278,94,114,111,0.083446054,2.243154098,2.159708044,-20,-17,3,red,United States of America,,1
grid.1029.a,Western Sydney University,1937,2092,653,21536,26631,10087,11.11822406,12.72992352,15.44716692,68,80,4,-1.61169946,-4.328942864,-2.717243404,-12,64,76,red,Australia,,1
grid.7372.1,University of Warwick,4229,4023,3845,52084,61439,40973,12.31591393,15.27193637,10.65617685,32,43,58,-2.956022438,1.659737075,4.615759513,-11,-26,-15,red,United Kingdom of Great Britain and Northern Ireland,,1
grid.1009.8,University of Tasmania,2426,2468,1950,23157,28870,19459,9.545342127,11.69773096,9.978974359,96,95,74,-2.152388829,-0.433632232,1.718756597,1,22,21,red,Australia,,1
grid.1025.6,Murdoch University,1034,1080,928,7998,10183,7972,7.735009671,9.428703704,8.590517241,119,116,95,-1.693694033,-0.85550757,0.838186462,3,24,21,red,Australia,,1
grid.1020.3,University of New England,908,915,522,5640,7298,3860,6.211453744,7.975956284,7.394636015,139,135,115,-1.76450254,-1.183182271,0.581320269,4,24,20,red,Australia,,1
grid.1003.2,University of Queensland,9354,9162,7995,102157,127299,88849,10.92121018,13.89423707,11.11307067,71,65,51,-2.973026889,-0.191860492,2.781166397,6,20,14,red,Australia,,1
grid.1033.1,Bond University,345,381,335,2162,3163,2403,6.266666667,8.30183727,7.173134328,138,129,117,-2.035170604,-0.906467662,1.128702942,9,21,12,red,Australia,,1
grid.1040.5,Federation University Australia,413,531,436,2045,3845,2864,4.95157385,7.241054614,6.568807339,152,142,125,-2.289480764,-1.61723349,0.672247274,10,27,17,red,Australia,,1
grid.1018.8,La Trobe University,2107,2119,1891,20943,27658,19197,9.939724727,13.0523832,10.15177155,90,78,68,-3.112658473,-0.212046822,2.90061165,12,22,10,red,Australia,,1
grid.411958.0,Australian Catholic University,1078,1012,930,9108,11705,9135,8.448979592,11.56620553,9.822580645,110,97,77,-3.117225942,-1.373601053,1.743624888,13,33,20,red,Australia,,1
grid.83440.3b,University College London,17288,15163,10489,205161,246885,142043,11.86724896,16.28206819,13.54209172,44,31,20,-4.414819233,-1.674842756,2.739976477,13,24,11,red,United Kingdom of Great Britain and Northern Ireland,,1
grid.42505.36,University of Southern California,7359,6916,6499,72844,91540,70896,9.898627531,13.23597455,10.90875519,91,75,55,-3.337347021,-1.010127662,2.327219359,16,36,20,red,United States of America,,1
grid.1014.4,Flinders University South Australia,2263,2109,1961,22617,28334,20330,9.994255413,13.43480322,10.36715961,88,70,65,-3.440547811,-0.372904199,3.067643612,18,23,5,red,Australia,,1
grid.266886.4,University of Notre Dame Australia,384,336,181,1956,2783,1117,5.09375,8.282738095,6.171270718,151,130,128,-3.188988095,-1.077520718,2.111467377,21,23,2,red,Australia,,1
grid.19006.3e,University of California Los Angeles,13213,11731,9880,150937,191542,118207,11.42337092,16.32784929,11.96427126,54,29,35,-4.904478366,-0.540900332,4.363578033,25,19,-6,red,United States of America,,1
grid.21925.3d,University of Pittsburgh,10355,8778,8106,117994,143237,94304,11.3948817,16.31772613,11.63385147,55,30,41,-4.922844434,-0.238969768,4.683874665,25,14,-11,red,United States of America,,1
grid.49481.30,University of Waikato,690,799,771,4941,8725,5164,7.160869565,10.91989987,6.697795071,129,104,121,-3.75903031,0.463074494,4.222104804,25,8,-17,red,New Zealand,,1
grid.25879.31,University of Pennsylvania,13746,10896,10101,159647,182420,127414,11.61406955,16.74192364,12.61399861,51,24,26,-5.127854094,-0.999929066,4.127925028,27,25,-2,red,United States of America,,1
grid.67105.35,Case Western Reserve University,5102,4430,4271,56907,70155,50730,11.15386123,15.83634312,11.87778038,66,34,38,-4.682481884,-0.723919148,3.958562736,32,28,-4,red,United States of America,,1
grid.262743.6,Rush University,1835,1525,126,18981,23008,861,10.34386921,15.08721311,6.833333333,82,49,120,-4.743343905,3.510535876,8.253879781,33,-38,-71,red,United States of America,,1
grid.264200.2,ST GEORGES UNIVERSITY LONDON,1371,654,853,14220,9898,13118,10.37199125,15.13455657,15.37866354,81,48,7,-4.762565328,-5.006672293,-0.244106966,33,74,41,red,United Kingdom of Great Britain and Northern Ireland,,1
grid.254880.3,Dartmouth College,2818,1605,2226,30708,26229,25869,10.89709013,16.34205607,11.6212938,72,28,43,-5.44496594,-0.724203666,4.720762274,44,29,-15,red,United States of America,,1
grid.5836.8,Universitat Siegen,763,839,447,11988,9951,2282,15.71166448,11.86054827,5.105145414,5,91,139,3.851116211,10.60651907,6.755402858,-86,-134,-48,orange,Germany,,
grid.411840.8,University of Marrakech Cadi Ayyad,620,725,221,7199,8250,1027,11.61129032,11.37931034,4.647058824,52,99,144,0.231979978,6.964231499,6.732251521,-47,-92,-45,orange,Morocco,,
grid.11843.3f,Universite de Strasbourg,3231,3403,2562,41769,50298,28876,12.9275766,14.7804878,11.27088212,27,54,48,-1.852911203,1.656694478,3.509605682,-27,-21,6,orange,France,,
grid.35030.35,City University of Hong Kong,2993,3246,2867,35362,43848,29579,11.81490144,13.50831793,10.31705616,46,69,67,-1.693416493,1.49784528,3.191261773,-23,-21,2,orange,China,,
grid.4708.b,University of Milan,6416,6170,6289,76852,88395,59645,11.97817955,14.32658023,9.484019717,39,60,80,-2.348400676,2.494159834,4.84256051,-21,-41,-20,orange,Italy,,
grid.5510.1,University of Oslo,6276,5421,4375,81474,82346,54318,12.98183556,15.19018631,12.41554286,25,45,31,-2.208350748,0.566292707,2.774643455,-20,-6,14,orange,Norway,,
grid.14476.30,LOMONOSOV MOSCOW STATE UNIVERSITY,5630,6852,6322,45257,54771,31537,8.038543517,7.993432574,4.988453021,114,133,142,0.045110942,3.050090496,3.004979553,-19,-28,-9,orange,Russian Federation,,
grid.4514.4,Lund University,6306,5911,5256,77342,88213,54572,12.26482715,14.9235324,10.38280061,34,53,64,-2.658705248,1.88202654,4.540731788,-19,-30,-11,orange,Sweden,,
grid.7345.5,University of Buenos Aires,3221,3364,3241,25257,26889,12056,7.841353617,7.993162901,3.719839556,117,134,151,-0.151809284,4.121514061,4.273323346,-17,-34,-17,orange,Argentina,1,
