grid,uni_name,country,region,subregion
grid.38142.3c,Harvard University,United States,Americas,Northern America
grid.17063.33,University of Toronto,Canada,Americas,Northern America
grid.11899.38,University of Sao Paulo,Brazil,Americas,South America
grid.83440.3b,University College London,United Kingdom,Europe,Northern Europe
grid.214458.e,University of Michigan–Ann Arbor,United States,Americas,Northern America
grid.4991.5,University of Oxford,United Kingdom,Europe,Northern Europe
grid.21107.35,Johns Hopkins University,United States,Americas,Northern America
grid.168010.e,Stanford University,United States,Americas,Northern America
grid.34477.33,University of Washington,United States,Americas,Northern America
grid.12527.33,Tsinghua University,China,Asia,Eastern Asia
grid.5335.0,University of Cambridge,United Kingdom,Europe,Northern Europe
grid.16821.3c,Shanghai Jiao Tong University,China,Asia,Eastern Asia
grid.1013.3,University of Sydney,Australia,Oceania,Australia and New Zealand
grid.25879.31,University of Pennsylvania,United States,Americas,Northern America
grid.19006.3e,University of California Los Angeles,United States,Americas,Northern America
grid.26999.3d,University of Tokyo,Japan,Asia,Eastern Asia
grid.7445.2,Imperial College London,United Kingdom,Europe,Northern Europe
grid.13402.34,Zhejiang University,China,Asia,Eastern Asia
grid.21729.3f,Columbia University,United States,Americas,Northern America
grid.11135.37,Peking University,China,Asia,Eastern Asia
grid.1008.9,University of Melbourne,Australia,Oceania,Australia and New Zealand
grid.31501.36,Seoul National University,South Korea,Asia,Eastern Asia
grid.17635.36,University of Minnesota,United States,Americas,Northern America
grid.5386.8,Cornell University,United States,Americas,Northern America
grid.266100.3,"University of California, San Diego",United States,Americas,Northern America
grid.5254.6,University of Copenhagen,Denmark,Europe,Northern Europe
grid.17091.3e,University of British Columbia,Canada,Americas,Northern America
grid.116068.8,Massachusetts Institute of Technology,United States,Americas,Northern America
grid.261331.4,The Ohio State University,United States,Americas,Northern America
grid.47100.32,Yale University,United States,Americas,Northern America
grid.26009.3d,Duke University,United States,Americas,Northern America
grid.47840.3f,"University of California, Berkeley",United States,Americas,Northern America
grid.4280.e,National University of Singapore,Singapore,Asia,South-Eastern Asia
grid.1002.3,Monash University,Australia,Oceania,Australia and New Zealand
grid.5801.c,Swiss Federal Institute of Technology in Zurich,Switzerland,Europe,Western Europe
grid.21925.3d,University of Pittsburgh,United States,Americas,Northern America
grid.5596.f,University of Leuven,Belgium,Europe,Western Europe
grid.1005.4,UNSW Australia,Australia,Oceania,Australia and New Zealand
grid.1003.2,University of Queensland,Australia,Oceania,Australia and New Zealand
grid.10698.36,University of North Carolina at Chapel Hill,United States,Americas,Northern America
grid.16753.36,Northwestern University,United States,Americas,Northern America
grid.15276.37,University of Florida,United States,Americas,Northern America
grid.14003.36,University of Wisconsin–Madison,United States,Americas,Northern America
grid.170205.1,University of Chicago,United States,Americas,Northern America
grid.14709.3b,McGill University,Canada,Americas,Northern America
grid.5379.8,University of Manchester,United Kingdom,Europe,Northern Europe
grid.7841.a,Sapienza University of Rome,Italy,Europe,Southern Europe
grid.13097.3c,King's College London,United Kingdom,Europe,Northern Europe
grid.137628.9,New York University,United States,Americas,Northern America
grid.33199.31,Huazhong University of Science and Technology,China,Asia,Eastern Asia
grid.89336.37,The University of Texas at Austin,United States,Americas,Northern America
grid.29857.31,Pennsylvania State University,United States,Americas,Northern America
grid.12981.33,Sun Yat-sen University,China,Asia,Eastern Asia
grid.258799.8,Kyoto University,Japan,Asia,Eastern Asia
grid.8547.e,Fudan University,China,Asia,Eastern Asia
grid.43169.39,Xi'an Jiaotong University,China,Asia,Eastern Asia
grid.27860.3b,"University of California, Davis",United States,Americas,Northern America
grid.19373.3f,Harbin Institute of Technology,China,Asia,Eastern Asia
grid.7177.6,University of Amsterdam,Netherlands,Europe,Western Europe
grid.5477.1,Utrecht University,Netherlands,Europe,Western Europe
grid.264756.4,Texas A&M University,United States,Americas,Northern America
grid.6936.a,Technical University Munich,Germany,Europe,Western Europe
grid.35403.31,University of Illinois at Urbana Champaign,United States,Americas,Northern America
grid.59025.3b,Nanyang Technological University,Singapore,Asia,South-Eastern Asia
grid.5841.8,University of Barcelona,Spain,Europe,Southern Europe
grid.5252.0,Ludwig Maximilian University of Munich,Germany,Europe,Western Europe
grid.7311.4,University of Aveiro,Portugal,Europe,Southern Europe
grid.42505.36,University of Southern California,United States,Americas,Northern America
grid.7700.0,Heidelberg University,Germany,Europe,Western Europe
grid.5342.0,Ghent University,Belgium,Europe,Western Europe
grid.4714.6,Karolinska Institute,Sweden,Europe,Northern Europe
grid.189967.8,Emory University,United States,Americas,Northern America
grid.27255.37,Shandong University,China,Asia,Eastern Asia
grid.14476.30,Moscow State University,Russia,Europe,Eastern Europe
grid.13291.38,Sichuan University,China,Asia,Eastern Asia
