grid_id,name,wos_names
grid.1001.0,Australian National University,Australian National University
grid.1002.3,Monash University,Monash University
grid.10025.36,University of Liverpool,University of Liverpool
grid.1003.2,The University of Queensland,University of Queensland
grid.1004.5,Macquarie University,Macquarie University
grid.10041.34,University of La Laguna,Universidad de la Laguna
grid.10049.3c,University of Limerick,University of Limerick
grid.1005.4,University of New South Wales,University of New South Wales Sydney
grid.1006.7,Newcastle University,Newcastle University - UK
grid.1007.6,University of Wollongong,University of Wollongong
grid.1008.9,The University of Melbourne,University of Melbourne
grid.1009.8,University of Tasmania,University of Tasmania
grid.1010.0,The University of Adelaide,University of Adelaide
grid.1011.1,James Cook University,James Cook University
grid.1012.2,The University of Western Australia,University of Western Australia
grid.1013.3,Sydney University,University of Sydney
grid.1014.4,Flinders University,Flinders University South Australia
grid.1017.7,RMIT University,ROYAL MELBOURNE INSTITUTE OF TECHNOLOGY RMIT
grid.1018.8,La Trobe University,La Trobe University
grid.1019.9,Victoria University Australia,Victoria University
grid.1020.3,The University of New England,University of New England
grid.1021.2,Deakin University,Deakin University
grid.1022.1,Griffith University,Griffith University
grid.10223.32,Mahidol University,Mahidol University
grid.1023.0,Central Queensland (CQ) University,Central Queensland University
grid.1024.7,Queensland University of Technology,Queensland University of Technology QUT
grid.1025.6,Murdoch University,Murdoch University
grid.10251.37,Mansoura University,Mansoura University
grid.10253.35,University of Marburg,Philipps University Marburg
grid.1026.5,University of South Australia,University of South Australia
grid.10267.32,Masaryk University,Masaryk University Brno
grid.1027.4,Swinburne University of Technology,Swinburne University of Technology
grid.1029.a,Western Sydney University,Western Sydney University
grid.1031.3,Southern Cross University,Southern Cross University
grid.1032.0,Curtin University,Curtin University
grid.10328.38,University of Minho,Universidade do Minho
grid.1033.1,Bond University,Bond University
grid.1034.6,University of the Sunshine Coast,University of the Sunshine Coast
grid.10346.30,Leeds Beckett University,Leeds Metropolitan University
grid.10347.31,University of Malaya,Universiti Malaya
grid.1035.7,Warsaw University of Technology,Warsaw University of Technology
grid.1037.5,Charles Sturt University,Charles Sturt University
grid.1038.a,Edith Cowan University,Edith Cowan University
grid.10383.39,University of Parma,University of Parma
grid.10388.32,University of Bonn,UNIVERSITY OF BONN
grid.1039.b,University of Canberra,University of Canberra
grid.10392.39,University of TÃ¼bingen,Eberhard Karls University of Tubingen
grid.1040.5,Federation University Australia,Federation University Australia
grid.10420.37,University of Vienna,University of Vienna
grid.1043.6,Charles Darwin University,Charles Darwin University
grid.1048.d,University of Southern Queensland,University of Southern Queensland
grid.10516.33,Istanbul Technical University,Istanbul Technical University
grid.10548.38,Stockholm University,Stockholm University
grid.10586.3a,University of Murcia,University of Murcia
grid.10698.36,University of North Carolina at Chapel Hill,UNIVERSITY OF NORTH CAROLINA CHAPEL HILL
grid.10711.36,University of NeuchÃ¢tel,University of Neuchatel
grid.10772.33,NOVA University of Lisbon,Universidade Nova de Lisboa
grid.10776.37,University of Palermo,University of Palermo
grid.10784.3a,Chinese University of Hong Kong,Chinese University of Hong Kong
grid.10825.3e,University of Southern Denmark,University of Southern Denmark
grid.108365.9,National University of San MartÃ­n,not found
grid.10837.3d,The Open University,Open University - UK
grid.10858.34,University of Oulu,University of Oulu
grid.10863.3c,University of Oviedo,University of Oviedo
grid.10877.39,Ã‰cole Polytechnique,Ecole Polytechnique
grid.10919.30,UiT The Arctic University of Norway,UiT The Arctic University of Tromso
grid.10939.32,University of Tartu,University of Tartu
grid.10979.36,PalackÃ½ University Olomouc,Palacky University Olomouc
grid.10988.38,PanthÃ©on-Sorbonne University â€“ Paris 1,Universite Pantheon-Sorbonne
grid.10999.38,University of Talca,Universidad de Talca
grid.11046.32,University of Passau,University of Passau
grid.11047.33,University of Patras,University of Patras
grid.11100.31,Universidad Peruana Cayetano Heredia,Universidad Peruana Cayetano Heredia
grid.11135.37,Peking University,Peking University
grid.11142.37,Universiti Putra Malaysia,Universiti Putra Malaysia
grid.11194.3c,Makerere University,Makerere University
grid.11201.33,Plymouth University,University of Plymouth
grid.11205.37,University of Zaragoza,University of Zaragoza
grid.11220.30,BoÄŸaziÃ§i University,Bogazici University
grid.11348.3f,University of Potsdam,University of Potsdam
grid.11417.32,Federal University of Toulouse Midi-PyrÃ©nÃ©es,Universite Federale Toulouse Midi-Pyrenees ComUE
grid.11450.31,University of Sassari,University of Sassari
grid.11480.3c,University of the Basque Country,University of Basque Country
grid.11598.34,Medical University of Graz,Medical University of Graz
grid.116068.8,Massachusetts Institute of Technology,Massachusetts Institute of Technology MIT
grid.11696.39,University of Trento,University of Trento
grid.11702.35,Roskilde University,Roskilde University
grid.117476.2,University of Technology Sydney,University of Technology Sydney
grid.11762.33,University of Salamanca,University of Salamanca
grid.11780.3f,University of Salerno,University of Salerno
grid.11794.3a,University of Santiago de Compostela,University of Santiago De Compostela
grid.11804.3c,Semmelweis University,Semmelweis University
grid.11835.3e,University of Sheffield,University of Sheffield
grid.11843.3f,University of Strasbourg,Universite de Strasbourg
grid.11875.3a,Universiti Sains Malaysia,Universiti Sains Malaysia
grid.11899.38,University of Sao Paulo,Universidade de Sao Paulo
grid.11914.3c,University of St Andrews,University of St Andrews
