grid_id,name,oa_wos,oa_scopus,oa_msa,oa_wos_rank,oa_scopus_rank,oa_msa_rank,wos-scopus,wos-msa,scopus-msa,wos-scopus.rank,wos-msa.rank,scopus-msa.rank,colour
grid.412522.2,Pontificia Universidade Catolica do Parana,52.84552846,42.30769231,62.2,55,88,10,10.53783615,-9.354471545,-19.89230769,-33,45,78,orange
grid.5380.e,Universidad de Concepcion,46.69652856,43.1712963,54.71180238,86,83,33,3.525232259,-8.015273823,-11.54050608,3,53,50,orange
grid.7345.5,University of Buenos Aires,49.40784604,43.98359161,53.84990253,68,77,36,5.424254426,-4.442056494,-9.866310921,-9,32,41,orange
grid.11899.38,Universidade de Sao Paulo,49.32918703,45.52733297,54.82367095,69,70,30,3.801854063,-5.494483925,-9.296337987,-1,39,40,orange
grid.434933.a,Institute Technology of Bandung,56.72413793,36.41618497,43.81909548,39,110,70,20.30795296,12.90504245,-7.402910506,-71,-31,40,orange
grid.9486.3,Universidad Nacional Autonoma de Mexico,47.55707275,44.05975812,53.26355852,80,76,42,3.497314633,-5.706485761,-9.203800394,4,38,34,orange
grid.419886.a,Tecnologico de Monterrey,40.18348624,33.94160584,40.77669903,110,117,88,6.241880399,-0.593212791,-6.83509319,-7,22,29,orange
grid.9601.e,Istanbul University,45.02521779,33.42939481,35.02767992,94,120,108,11.59582298,9.997537871,-1.598285107,-26,-14,12,orange
grid.278276.e,Kochi University,40.90909091,40.45307443,41.44927536,108,93,86,0.456016475,-0.540184453,-0.996200929,15,22,7,orange
grid.6852.9,Eindhoven University of Technology,49.32221064,41.625857,39.78444236,70,91,94,7.696353633,9.537768274,1.841414641,-21,-24,-3,orange
grid.19188.39,National Taiwan University,42.00510104,34.94575045,32.48132127,101,113,122,7.059350588,9.523779766,2.464429178,-12,-21,-9,orange
grid.16821.3c,Shanghai Jiao Tong University,39.83578989,32.15395649,27.68643259,115,126,139,7.6818334,12.1493573,4.467523903,-11,-24,-13,orange
grid.5606.5,University of Genoa,49.77859779,45.53097345,40.86229086,66,69,87,4.247624335,8.916306924,4.668682589,-3,-21,-18,orange
grid.5110.5,University of Graz,51.13122172,49.24433249,43.41580208,58,53,76,1.886889226,7.715419644,5.828530419,5,-18,-23,orange
grid.35915.3b,ITMO University,34.44839858,30.66566941,12.5,131,129,153,3.782729167,21.94839858,18.16566941,2,-22,-24,orange
grid.411840.8,University of Marrakech Cadi Ayyad,48.06949807,40.38461538,28.37209302,75,94,135,7.684882685,19.69740505,12.01252236,-19,-60,-41,orange
grid.5836.8,Universitat Siegen,54.92487479,45.80645161,23.78640777,49,68,145,9.118423178,31.13846702,22.02004385,-19,-96,-77,orange
grid.1017.7,ROYAL MELBOURNE INSTITUTE OF TECHNOLOGY RMIT,26.53446648,21.8555715,38.48669865,146,146,97,4.678894981,-11.95223217,-16.63112715,0,49,49,red
grid.49481.30,University of Waikato,39.96627319,38.47487002,44.44444444,113,103,68,1.49140317,-4.478171257,-5.969574427,10,45,35,red
grid.410356.5,Queens University - Canada,37.77972795,32.69230769,36.32166218,126,124,104,5.087420259,1.458065773,-3.629354485,2,22,20,red
grid.262743.6,Rush University,46.22157007,43.11111111,44.34782609,89,84,69,3.110458955,1.873743979,-1.236714976,5,20,15,red
grid.168010.e,Stanford University,60.39858282,57.25767754,52.45590231,26,31,46,3.140905273,7.94268051,4.801775237,-5,-20,-15,red
grid.19006.3e,University of California Los Angeles,61.66121113,60.17321785,53.38337685,20,23,41,1.487993275,8.27783428,6.789841005,-3,-21,-18,red
grid.252890.4,Baylor University,45.89455488,46.72021419,36.79154659,92,63,101,-0.825659307,9.103008294,9.9286676,29,-9,-38,red
grid.1034.6,University of the Sunshine Coast,40.9556314,37.61996161,40.37037037,107,107,89,3.335669787,0.585261029,-2.750408758,0,18,18,grey
grid.412813.d,Vellore Institute of Technology,23.26359833,20.06394884,30.10695187,147,147,130,3.199649485,-6.843353545,-10.04300303,0,17,17,grey
grid.410714.7,Showa University,52.12355212,45.92145015,50.16666667,57,67,51,6.202101972,1.956885457,-4.245216516,-10,6,16,grey
grid.16463.36,UNIVERSITY OF KWAZULU NATAL,46.20565784,41.98235599,43.68119771,90,89,75,4.223301842,2.524460125,-1.698841716,1,15,14,grey
grid.7776.1,Cairo University,38.36939722,31.44266338,33.4554782,121,128,115,6.926733839,4.913919021,-2.012814819,-7,6,13,grey
grid.1011.1,James Cook University,48.94875164,45.22942462,46.38709677,71,71,59,3.719327025,2.561654868,-1.157672157,0,12,12,grey
grid.1009.8,University of Tasmania,43.0238211,38.59198356,40.06604293,99,102,91,4.431837543,2.957778171,-1.474059372,-3,8,11,grey
grid.1004.5,Macquarie University,39.90939044,35.74468085,36.77559913,114,112,102,4.164709594,3.133791316,-1.030918277,2,12,10,grey
grid.266842.c,University of Newcastle,37.85450062,33.42415985,34.05341712,125,121,112,4.430340762,3.801083492,-0.62925727,4,13,9,grey
grid.5132.5,Leiden University,60.56894508,60.83371507,60.22924627,25,21,12,-0.26476999,0.339698815,0.604468805,4,13,9,grey
